Designator,Mid X,Mid X,Mid Y,Mid Y,Layer,Rotation
R48,39.93,39.93mm,7.77,7.77mm,Top,180
R49,39.93,39.93mm,8.86,8.86mm,Top,180
RST,39.65,39.65mm,42.21,42.21mm,Top,180
SJ1,7.32,7.32mm,36.32,36.32mm,Top,270
SJ2,42.93,42.93mm,45.03,45.03mm,Top,180
SJ3,28.88,28.88mm,51.18,51.18mm,Top,180
TH0,57.58,57.58mm,39.98,39.98mm,Top,0
U1,31.11,31.11mm,35.5,35.5mm,Top,0
U2,24.94,24.94mm,43.36,43.36mm,Top,0
U3,20.68,20.68mm,37.26,37.26mm,Top,180
U5,27.64,27.64mm,28.47,28.47mm,Top,0
U6,50.27,50.27mm,16.61,16.61mm,Top,180
U7,45.75,45.75mm,25.45,25.45mm,Top,270
USB,22.89,22.89mm,50.15,50.15mm,Top,180
X1,34.06,34.06mm,26.7,26.7mm,Top,0
